Date,Demand,Hour,Weekday,Price
2018-07-14,172.8,4,Weekend,18.92
2018-07-14,168.96,5,Weekend,18.97
2018-07-14,171.84,6,Weekend,18.55
2018-07-14,178.56,7,Weekend,20.04
2018-07-14,210.24,8,Weekend,20.94
2018-07-14,242.88,9,Weekend,26.71
2018-07-14,300.48,10,Weekend,27.72
2018-07-14,341.76,11,Weekend,38.96
2018-07-14,371.52,12,Weekend,26.44
2018-07-14,381.12,13,Weekend,28.8
2018-07-14,341.76,14,Weekend,35.39
2018-07-14,325.44,15,Weekend,37.1
2018-07-14,318.72,16,Weekend,60.69
2018-07-14,291.84,17,Weekend,67.1
2018-07-14,258.24,18,Weekend,67.17
2018-07-14,230.4,19,Weekend,42.56
2018-07-14,216,20,Weekend,36.9
2018-07-14,209.28,21,Weekend,42.95
2018-07-14,186.24,22,Weekend,31.46
2018-07-14,182.4,23,Weekend,24.41
2018-07-15,172.8,0,Weekend,25.27
2018-07-15,170.88,1,Weekend,22.67
2018-07-15,168,2,Weekend,21.15
2018-07-15,170.88,3,Weekend,19.52
2018-07-15,173.76,4,Weekend,18.85
2018-07-15,171.84,5,Weekend,18.24
2018-07-15,168.96,6,Weekend,18.23
2018-07-15,178.56,7,Weekend,18.42
2018-07-15,168.96,8,Weekend,20.06
2018-07-15,172.8,9,Weekend,24.07
2018-07-15,194.88,10,Weekend,26.67
2018-07-15,199.68,11,Weekend,28.8
2018-07-15,213.12,12,Weekend,25.88
2018-07-15,210.24,13,Weekend,25.94
2018-07-15,227.52,14,Weekend,28.53
2018-07-15,237.12,15,Weekend,32
2018-07-15,261.12,16,Weekend,45.67
2018-07-15,257.28,17,Weekend,34.57
2018-07-15,260.16,18,Weekend,32.54
2018-07-15,227.52,19,Weekend,38.7
2018-07-15,222.72,20,Weekend,32.61
2018-07-15,200.64,21,Weekend,36.77
2018-07-15,188.16,22,Weekend,27.98
2018-07-15,187.2,23,Weekend,25.16
2018-07-16,176.64,0,Weekday,22.96
2018-07-16,178.56,1,Weekday,22.21
2018-07-16,160.32,2,Weekday,20.24
2018-07-16,159.36,3,Weekday,19.77
2018-07-16,157.44,4,Weekday,19.9
