Year,Month,Day,Hour,Demand,Price,Weekday
2017,7,14,0,1145.5461399049002,22.84,1
2017,7,14,1,1088.5450909025,22.1,1
2017,7,14,2,985.8052541987,21.33,1
2017,7,14,3,753.7619578251,19.77,1
2017,7,14,4,581.4311459265,20.61,1
2017,7,14,5,411.51537297563993,22.05,1
2017,7,14,6,298.12719635544005,22.86,1
2017,7,14,7,234.4069777803,24.769999,1
2017,7,14,8,196.95618348468,26.309999,1
2017,7,14,9,150.92630093359,28.19,1
2017,7,14,10,144.78300302531002,33.59,1
2017,7,14,11,156.03356158214,33.890001,1
2017,7,14,12,203.85767197951,49.129999,1
2017,7,14,13,233.28691717828,38.89,1
2017,7,14,14,337.4988399693,37.64,1
2017,7,14,15,546.4529368356299,58.98,1
2017,7,14,16,654.27707917353,30.53,1
2017,7,14,17,887.4358003536302,30.6,1
2017,7,14,18,969.62100709263,33.62,1
2017,7,14,19,1083.0333490920302,27.16,1
2017,7,14,20,932.63257597813,26.910001,1
2017,7,14,21,1146.60374441914,27.12,1
2017,7,14,22,1278.28637957903,24.12,1
2017,7,14,23,1249.2301790113902,20.23,1
2017,7,15,0,1138.1789791811,21.21,0
2017,7,15,1,1033.5130590837002,21.29,0
2017,7,15,2,955.4734251767,18.77,0
2017,7,15,3,767.5293667903001,18.32,0
2017,7,15,4,577.3936789749,17.85,0
2017,7,15,5,390.66467933234,17.99,0
2017,7,15,6,292.72505151404005,16.79,0
2017,7,15,7,230.27731589578005,17.900001,0
2017,7,15,8,196.69897308908,20.82,0
2017,7,15,9,182.57450766211,22.18,0
2017,7,15,10,167.43720815396998,24.86,0
2017,7,15,11,224.70136634902,27.97,0
2017,7,15,12,261.77478900205006,29.28,0
2017,7,15,13,241.2800670936,30.27,0
2017,7,15,14,242.84037323716,29.2,0
2017,7,15,15,324.24393593343007,31.43,0
2017,7,15,16,449.1123168855301,30.89,0
2017,7,15,17,609.55552600943,61.45,0
2017,7,15,18,687.5691705574301,31.11,0
2017,7,15,19,841.6917737498302,29.93,0
2017,7,15,20,927.6350687027298,26.17,0
2017,7,15,21,991.8128748855398,26.81,0
2017,7,15,22,1121.15405763643,23.43,0
2017,7,15,23,1074.24676994319,20.01,0
2017,7,16,0,983.9729483353002,19.49,0
2017,7,16,1,914.2673013269002,20.77,0
2017,7,16,2,835.7863035651001,16.9,0
2017,7,16,3,632.9626096339,17.07,0
2017,7,16,4,449.464447785,16.81,0
2017,7,16,5,289.6246410174,11.38,0
2017,7,16,6,180.85570874508,5.54,0
2017,7,16,7,116.32476725226,16.01,0
2017,7,16,8,114.83381036502,18.950001,0
2017,7,16,9,112.94761816285,20.94,0
2017,7,16,10,123.28776587091,22.21,0
2017,7,16,11,156.03356158214,24.84,0
2017,7,16,12,203.85767197951,27.6,0
2017,7,16,13,170.81851890317998,31.66,0
2017,7,16,14,130.29086512290002,34.62,0
2017,7,16,15,131.946943240422,40.01,0
2017,7,16,16,235.98977033729,45.31,0
2017,7,16,17,371.2648969697301,61.53,0
2017,7,16,18,514.75985886173,38.13,0
2017,7,16,19,614.8442041064301,44.91,0
2017,7,16,20,756.0516577149301,28.75,0
2017,7,16,21,887.6696118761399,28.99,0
2017,7,16,22,999.52803286603,25.2,0
2017,7,16,23,955.24516972499,21.1,0
2017,7,17,0,895.7270290951001,21.64,1
2017,7,17,1,840.1210575946999,21.51,1
2017,7,17,2,745.5565145529,20.65,1
2017,7,17,3,549.0545256482001,19.38,1
2017,7,17,4,365.06009368186,19.26,1
2017,7,17,5,181.46408320739,20.28,1
2017,7,17,6,135.73892055996,20.75,1
2017,7,17,7,119.86079708944,23.53,1
2017,7,17,8,116.71158850721,25.59,1
2017,7,17,9,116.49385647054,34.02,1
2017,7,17,10,128.9217137384,40.03,1
2017,7,17,11,170.40956548034,36.32,1
2017,7,17,12,232.09582585611,57.3,1
2017,7,17,13,214.53074823398,38.08,1
2017,7,17,14,190.3613080686,51.59,1
2017,7,17,15,190.93793536243,60.93,1
2017,7,17,16,276.26413726845,52.71,1
2017,7,17,17,424.14250912703,69.55,1
2017,7,17,18,541.4765871326301,44.32,1
2017,7,17,19,686.51130063383,40.389999,1
2017,7,17,20,807.71800089103,43.9,1
2017,7,17,21,996.6604797884398,36.63,1
2017,7,17,22,1123.50146604503,25.92,1
2017,7,17,23,1117.06409359469,23.31,1
2017,7,18,0,1032.3356933919,21.69,1
2017,7,18,1,957.949683064,20.56,1
2017,7,18,2,906.8086622648,19.13,1
2017,7,18,3,696.0392800755001,18.33,1
2017,7,18,4,472.77824851890006,18.61,1
2017,7,18,5,295.47865118759,20.89,1
2017,7,18,6,198.42175559638,21.259999,1
2017,7,18,7,119.86079708944,22.7,1
2017,7,18,8,116.71158850721,25.05,1
2017,7,18,9,116.49385647054,28.25,1
2017,7,18,10,128.9217137384,29.71,1
2017,7,18,11,170.40956548034,37.56,1
2017,7,18,12,232.09582585611,35.67,1
2017,7,18,13,214.53074823398,38.670001,1
2017,7,18,14,190.3613080686,51.189999,1
2017,7,18,15,329.97366968329,93.52,1
2017,7,18,16,447.70146751303,111.41,1
2017,7,18,17,598.7144707129299,101.03,1
2017,7,18,18,755.7654659720298,67.58,1
2017,7,18,19,908.96228729263,51.48,1
2017,7,18,20,1046.3704086146302,46.09,1
2017,7,18,21,1186.39194327704,48.98,1
2017,7,18,22,1304.76427810063,30.98,1
2017,7,18,23,1242.72933715409,29.45,1
2017,7,19,0,1160.1543884015,25.57,1
2017,7,19,1,1056.097404903,23.87,1
2017,7,19,2,957.2327321101998,22.24,1
2017,7,19,3,737.9619932399,21.23,1
2017,7,19,4,527.0000588851001,21.42,1
2017,7,19,5,361.83992082157,22.4,1
2017,7,19,6,263.36309068604,24.1,1
2017,7,19,7,167.78863270570002,25.33,1
2017,7,19,8,131.184924971666,32.22,1
2017,7,19,9,115.87058683134,33.62,1
2017,7,19,10,127.965818805,36.85,1
2017,7,19,11,167.93027930964,41.369999,1
2017,7,19,12,242.11549325924005,51.81,1
2017,7,19,13,259.85954173541995,52.25,1
2017,7,19,14,329.4787618705,63.42,1
2017,7,19,15,500.41037031233,115.62,1
2017,7,19,16,692.82557045223,156.65,1
2017,7,19,17,897.5639585761301,59.21,1
2017,7,19,18,1059.3686177885302,69.51,1
2017,7,19,19,1159.03087458663,70.86,1
2017,7,19,20,1328.88533111143,59.25,1
