Year,Month,Day,Hour,Demand,Tariff,Weekday
2017,7,27,1,1138.356001,20.17,1
2017,7,27,2,1083.12548,19.66,1
2017,7,27,3,870.0376403,18.79,1
2017,7,27,4,671.7981022,17.21,1
2017,7,27,5,496.7264754,19.509999,1
2017,7,27,6,402.3719277,20.43,1
2017,7,27,7,333.975468,21,1
2017,7,27,8,293.2119602,22.680001,1
2017,7,27,9,263.7351171,27.86,1
2017,7,27,10,269.1345946,157.31,1
2017,7,27,11,326.6767746,28.43,1
2017,7,27,12,358.9343194,28.52,1
2017,7,27,13,318.8620737,33.8,1
2017,7,27,14,257.4715993,49.23,1
2017,7,27,15,251.9135664,33.48,1
2017,7,27,16,309.824007,38.22,1
2017,7,27,17,398.5989412,31.07,1
2017,7,27,18,398.0383157,30.160001,1
2017,7,27,19,395.4861077,71.64,1
2017,7,27,20,364.4554398,28.72,1
2017,7,27,21,348.8643824,28.82,1
2017,7,27,22,320.6680532,24.450001,1
2017,7,27,23,406.3884906,22.94,1
2017,7,28,0,414.2585419,21.3,1
2017,7,28,1,475.9395509,21.5,1
2017,7,28,2,507.5994716,20.19,1
2017,7,28,3,378.1519497,19.25,1
2017,7,28,4,257.1228492,19.41,1
2017,7,28,5,169.7341039,21.53,1
2017,7,28,6,134.8179483,22.19,1
2017,7,28,7,119.2515081,23.36,1
2017,7,28,8,116.3929942,25.94,1
2017,7,28,9,115.8705868,30.31,1
